,a,ä,ɑ,ɒ,ɔ,õ,ũ,ʊ̃,ʊ̟,o,u,ɞ,ɵ,ɤ,ɤ̃,ɤ̞,ʌ,ʌ̃,e,e̝,ɛ,ə,ɘ,ɘ̝,i,ɪ,ɪ̞,ɨ,ɨ̞,y,b,t,t̪,s,s̪,ɕ,ʦ,ʨ,ʧ,ʣ,ʥ,ʤ,ʒ,ʑ,ʐ,ʂ,ʃ,d,d̪,p,k,q,ɡ,r,r̝,ʁ,ɾ,f,ɸ,v,β,m,n,n̪,ɲ,ɲ̟,l,ɫ,j,w,x,ɣ,ɦ,h,Ø
a,,"0,05","0,3","0,4",,,,,,,,,,,,,,,"0,35","0,4","0,5",,,,"0,35","0,385","0,44",,,"0,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ä,"0,05",,"0,3","0,4",,,,,,,,,,,,,,,"0,35","0,4","0,5",,,,"0,35","0,385","0,44",,,"0,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɑ,"0,3","0,3",,"0,1","0,6","0,5","0,5","0,55","0,55","0,45","0,45",,"0,1","0,35","0,4","0,4","0,5","0,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɒ,"0,4","0,4","0,1",,"0,35","0,4","0,4","0,44","0,44","0,35","0,35",,,"0,45","0,5","0,5","0,6","0,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɔ,,,"0,6","0,35",,"0,55","0,4","0,55","0,55","0,5","0,35","0,3",,"0,6","0,65","0,65","0,1","0,15",,,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
õ,,,"0,5","0,4","0,55",,"0,5","0,15","0,15","0,05","0,55",,"0,5","0,1","0,15","0,15","0,6","0,65","0,45","0,45",,,"0,25","0,3",,"0,385","0,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ũ,,,"0,5","0,4","0,4","0,5",,"0,15","0,15","0,2","0,05",,,"0,65","0,65","0,65","0,5","0,5",,,,,,,"0,4","0,33","0,385","0,6","0,6","0,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ʊ̃,,,"0,55","0,44","0,55","0,15","0,15",,"0,05","0,15","0,15",,"0,55","0,2","0,25","0,25","0,45","0,5","0,495","0,495",,,"0,5","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ʊ̟,,,"0,55","0,44","0,55","0,15","0,15","0,05",,"0,15","0,15",,"0,55","0,2","0,25","0,25","0,45","0,5","0,495","0,495",,,"0,5","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,,,"0,45","0,35","0,5","0,05","0,2","0,15","0,15",,"0,5",,"0,45","0,1","0,15","0,15","0,6","0,65","0,45","0,45",,,"0,25","0,3",,"0,33","0,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,,,"0,45","0,35","0,35","0,55","0,05","0,15","0,15","0,5",,,,"0,6","0,65","0,65","0,15","0,5",,,,,,,"0,4","0,33","0,385","0,55","0,6","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɞ,,,,,"0,3",,,,,,,,"0,5",,,,"0,55","0,6",,,"0,55","0,45","0,6","0,65",,"0,385","0,44","0,45","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɵ,,,"0,1",,,"0,5",,"0,55","0,55","0,45",,"0,5",,"0,55","0,6","0,6",,,"0,55","0,6",,"0,45","0,1","0,15",,"0,33","0,385","0,6","0,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɤ,,,"0,35","0,45","0,6","0,1","0,65","0,2","0,2","0,1","0,6",,"0,55",,"0,05","0,05","0,5","0,55","0,3","0,35",,"0,33","0,45","0,5",,"0,33","0,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɤ̃,,,"0,4","0,5","0,65","0,15","0,65","0,25","0,25","0,15","0,65",,"0,6","0,05",,"0,05","0,55","0,5","0,35","0,35",,"0,385","0,5","0,5",,"0,385","0,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
